BananaMuffins,no-sugar-added-blueberry-and-banana-wheat-muffins.txt,0,preheat
BananaMuffins,no-sugar-added-blueberry-and-banana-wheat-muffins.txt,2,mix
BananaMuffins,no-sugar-added-blueberry-and-banana-wheat-muffins.txt,3,mix
BananaMuffins,no-sugar-added-blueberry-and-banana-wheat-muffins.txt,3,see
BananaMuffins,no-sugar-added-blueberry-and-banana-wheat-muffins.txt,5,fold
BananaMuffins,no-sugar-added-blueberry-and-banana-wheat-muffins.txt,6,bake
BananaMuffins,no-sugar-added-blueberry-and-banana-wheat-muffins.txt,7,remove
BananaMuffins,no-sugar-added-blueberry-and-banana-wheat-muffins.txt,7,cool
BananaMuffins,calypso-muffins.txt,0,bring
BananaMuffins,calypso-muffins.txt,1,stir
BananaMuffins,calypso-muffins.txt,2,cover
BananaMuffins,calypso-muffins.txt,2,remove
BananaMuffins,calypso-muffins.txt,2,allow
BananaMuffins,calypso-muffins.txt,2,cool
BananaMuffins,calypso-muffins.txt,3,preheat
BananaMuffins,calypso-muffins.txt,4,use
BananaMuffins,calypso-muffins.txt,5,combine
BananaMuffins,calypso-muffins.txt,6,make
BananaMuffins,calypso-muffins.txt,6,add
BananaMuffins,calypso-muffins.txt,7,mix
BananaMuffins,calypso-muffins.txt,8,scoop
BananaMuffins,calypso-muffins.txt,9,bake
BananaMuffins,mocha-chocolate-chip-banana-muffins.txt,0,preheat
BananaMuffins,mocha-chocolate-chip-banana-muffins.txt,1,blend
BananaMuffins,mocha-chocolate-chip-banana-muffins.txt,2,add
BananaMuffins,mocha-chocolate-chip-banana-muffins.txt,2,blend
BananaMuffins,mocha-chocolate-chip-banana-muffins.txt,3,add
BananaMuffins,mocha-chocolate-chip-banana-muffins.txt,4,spoon
BananaMuffins,mocha-chocolate-chip-banana-muffins.txt,5,bake
BananaMuffins,mocha-chocolate-chip-banana-muffins.txt,6,cool
BananaMuffins,seminary-muffins.txt,0,preheat
BananaMuffins,seminary-muffins.txt,2,combine
BananaMuffins,seminary-muffins.txt,3,sift
BananaMuffins,seminary-muffins.txt,4,stir
BananaMuffins,seminary-muffins.txt,5,fold
BananaMuffins,seminary-muffins.txt,6,pour
BananaMuffins,seminary-muffins.txt,7,bake
BananaMuffins,seminary-muffins.txt,8,remove
BananaMuffins,seminary-muffins.txt,8,let
BananaMuffins,hearty-breakfast-muffins.txt,0,preheat
BananaMuffins,hearty-breakfast-muffins.txt,2,mix
BananaMuffins,hearty-breakfast-muffins.txt,3,whisk
BananaMuffins,hearty-breakfast-muffins.txt,4,mix
BananaMuffins,hearty-breakfast-muffins.txt,5,stir
BananaMuffins,hearty-breakfast-muffins.txt,6,scoop
BananaMuffins,hearty-breakfast-muffins.txt,7,bake
BananaMuffins,hearty-breakfast-muffins.txt,8,cool
BananaMuffins,hearty-breakfast-muffins.txt,8,cool
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,0,preheat
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,2,combine
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,3,whisk
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,4,pour
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,4,stir
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,5,spoon
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,6,bake
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,7,let
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,7,cool
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,8,transfer
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,8,rack
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,8,cool
BananaMuffins,banana-buttermilk-breakfast-muffins-topped-with-nutella.txt,9,spread
BananaMuffins,banana-chip-muffins-ii.txt,0,preheat
BananaMuffins,banana-chip-muffins-ii.txt,2,whisk
BananaMuffins,banana-chip-muffins-ii.txt,3,mix
BananaMuffins,banana-chip-muffins-ii.txt,4,stir
BananaMuffins,banana-chip-muffins-ii.txt,5,divide
BananaMuffins,banana-chip-muffins-ii.txt,6,bake
BananaMuffins,banana-chocolate-chip-muffins.txt,0,combine
BananaMuffins,banana-chocolate-chip-muffins.txt,1,blend
BananaMuffins,banana-chocolate-chip-muffins.txt,2,add
BananaMuffins,banana-chocolate-chip-muffins.txt,3,fold
BananaMuffins,banana-chocolate-chip-muffins.txt,4,spoon
